0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,3.5940637588501,8.52321815490723,13.452374458313,18.3815288543701,23.3106842041016,28.239839553833,33.1689949035645,39.1003341674805,48.5279006958008,57.9554672241211,67.3830337524414,76.8106002807617,86.238166809082,95.6657333374023,105.093299865723,114.520866394043,123.948432922363,133.375991821289,141.127822875977,148.049911499023,154.971984863281,161.894073486328,168.816162109375,175.738235473633,182.66032409668,189.582412719727,196.504486083984,203.426574707031,209.568252563477,209.696578979492,209.824920654297,209.953247070312,210.081573486328,210.209899902344,210.338226318359,210.466552734375,210.594879150391,210.723220825195,210.851547241211,220.514755249023,237.641967773438,254.769180297852,271.896392822266,289.023590087891,306.150787353516,323.278015136719,340.405212402344,357.532409667969,374.659637451172,391.667724609375
2,6.27947521209717,10.812388420105,15.3453025817871,19.8782157897949,24.4111309051514,28.9440441131592,33.4769592285156,39.0613288879395,48.3138122558594,57.566291809082,66.8187789916992,76.0712585449219,85.3237380981445,94.5762252807617,103.828704833984,113.081192016602,122.333671569824,131.586151123047,139.452575683594,146.632675170898,153.812774658203,160.992874145508,168.172973632813,175.353073120117,182.533172607422,189.713272094727,196.89338684082,204.073486328125,210.57585144043,211.856048583984,213.136245727539,214.416427612305,215.696624755859,216.976821899414,218.257019042969,219.537200927734,220.817398071289,222.097595214844,223.377777099609,231.985809326172,246.330108642578,260.674407958984,275.018707275391,289.363037109375,303.707336425781,318.051635742187,332.395935058594,346.740234375,361.084533691406,375.329071044922
3,8.96488666534424,13.1015586853027,17.2382316589355,21.3749046325684,25.5115776062012,29.648250579834,33.7849235534668,39.0223236083984,48.0997200012207,57.1771202087402,66.254524230957,75.331916809082,84.4093170166016,93.4867172241211,102.564117431641,111.64151763916,120.71891784668,129.796310424805,137.777313232422,145.215438842773,152.653549194336,160.091674804688,167.529800415039,174.967910766602,182.406036376953,189.844146728516,197.282272338867,204.72038269043,211.583450317383,214.015518188477,216.447570800781,218.879623413086,221.311676025391,223.743743896484,226.175796508789,228.607849121094,231.039901733398,233.471969604492,235.904022216797,243.456848144531,255.018249511719,266.579650878906,278.141052246094,289.702453613281,301.263854980469,312.825256347656,324.386657714844,335.948059082031,347.509460449219,358.990447998047
4,11.6502981185913,15.3907289505005,19.131160736084,22.8715915679932,26.6120223999023,30.3524551391602,34.092887878418,38.9833145141602,47.8856315612793,56.7879486083984,65.6902618408203,74.5925827026367,83.4948959350586,92.3972091674805,101.299530029297,110.201843261719,119.104164123535,128.006469726563,136.102066040039,143.798202514648,151.494338989258,159.190475463867,166.886611938477,174.582748413086,182.278884887695,189.975021362305,197.671157836914,205.367294311523,212.591049194336,216.17497253418,219.758895874023,223.342819213867,226.926742553711,230.510665893555,234.094573974609,237.678497314453,241.262420654297,244.846343994141,248.430267333984,254.927886962891,263.706390380859,272.484893798828,281.263366699219,290.041870117187,298.820373535156,307.598876953125,316.377380371094,325.155853271484,333.934356689453,342.651794433594
5,14.3357095718384,17.6798992156982,21.0240898132324,24.3682804107666,27.7124691009521,31.0566596984863,34.4008483886719,38.9443092346191,47.6715431213379,56.3987731933594,65.1260070800781,73.8532409667969,82.5804748535156,91.3077087402344,100.034934997559,108.762168884277,117.489402770996,126.216636657715,134.426818847656,142.380966186523,150.335113525391,158.289276123047,166.243423461914,174.19758605957,182.151733398438,190.105895996094,198.060043334961,206.014190673828,213.598648071289,218.334442138672,223.070220947266,227.806015014648,232.541793823242,237.277572631836,242.013366699219,246.749145507812,251.484939575195,256.220703125,260.956512451172,266.39892578125,272.39453125,278.390106201172,284.385711669922,290.381317138672,296.376892089844,302.372497558594,308.368072509766,314.363677978516,320.359283447266,326.313171386719
6,17.0211200714111,19.9690704345703,22.9170188903809,25.8649673461914,28.812915802002,31.7608661651611,34.708812713623,38.9053039550781,47.4574546813965,56.0096015930176,64.5617523193359,73.113899230957,81.6660537719727,90.2182006835938,98.7703475952148,107.32250213623,115.874649047852,124.426795959473,132.751556396484,140.963729858398,149.175903320313,157.388076782227,165.600250244141,173.812423706055,182.02458190918,190.236755371094,198.448928833008,206.661102294922,214.606246948242,220.493896484375,226.381546020508,232.269195556641,238.156845092773,244.044494628906,249.932144165039,255.819793701172,261.707458496094,267.595092773437,273.482757568359,277.869964599609,281.082672119141,284.295349121094,287.508056640625,290.720733642578,293.933410644531,297.146118164062,300.358795166016,303.571502685547,306.7841796875,309.974517822266
7,19.7065315246582,22.2582397460937,24.8099479675293,27.3616561889648,29.9133625030518,32.4650688171387,35.0167770385742,38.8662986755371,47.2433624267578,55.6204299926758,63.9974975585938,72.3745651245117,80.7516250610352,89.1286926269531,97.5057601928711,105.882827758789,114.259895324707,122.63695526123,131.076309204102,139.546493530273,148.016677856445,156.486877441406,164.957061767578,173.42724609375,181.897445678711,190.367630004883,198.837814331055,207.308013916016,215.613861083984,222.653366088867,229.692886352539,236.732391357422,243.771911621094,250.811416625977,257.850921630859,264.890441894531,271.929962158203,278.969482421875,286.008972167969,289.341003417969,289.770812988281,290.200592041016,290.63037109375,291.060150146484,291.489959716797,291.919738769531,292.349517822266,292.779296875,293.209106445312,293.635894775391
8,20.9175777435303,23.8038024902344,26.6900253295898,29.5762500762939,32.4624710083008,35.3486976623535,38.234920501709,42.2064666748047,49.9642601013184,57.7220573425293,65.4798583984375,73.2376556396484,80.9954528808594,88.7532501220703,96.5110473632813,104.268844604492,112.026634216309,119.78443145752,128.12419128418,136.752090454102,145.380004882813,154.007904052734,162.635818481445,171.263717651367,179.891632080078,188.51953125,197.147445678711,205.775344848633,214.2880859375,221.913497924805,229.53889465332,237.164291381836,244.789688110352,252.415084838867,260.040496826172,267.665893554687,275.291290283203,282.916687011719,290.542083740234,295.270843505859,297.732147216797,300.193420410156,302.654693603516,305.115997314453,307.577270507812,310.038543701172,312.499847412109,314.961120605469,317.422393798828,319.866577148438
9,21.7066192626953,25.1365222930908,28.5664253234863,31.9963283538818,35.4262313842773,38.8561363220215,42.2860412597656,46.5138511657715,53.5252380371094,60.5366287231445,67.5480194091797,74.5594024658203,81.5707931518555,88.5821838378906,95.5935745239258,102.604965209961,109.616348266602,116.627738952637,124.806587219238,133.563507080078,142.320419311523,151.077331542969,159.834243774414,168.591171264648,177.348083496094,186.104995727539,194.861907958984,203.61882019043,212.294448852539,220.343734741211,228.393020629883,236.442306518555,244.491592407227,252.540878295898,260.590148925781,268.639434814453,276.688720703125,284.738006591797,292.787292480469,299.614654541016,305.485443115234,311.356231689453,317.22705078125,323.097839355469,328.968658447266,334.839447021484,340.710235595703,346.5810546875,352.451843261719,358.281829833984
10,22.4956588745117,26.4692420959473,30.4428253173828,34.4164085388184,38.3899917602539,42.3635749816895,46.337158203125,50.8212356567383,57.0862159729004,63.3511962890625,69.6161804199219,75.8811569213867,82.1461410522461,88.4111251831055,94.6761016845703,100.94108581543,107.206062316895,113.471046447754,121.488990783691,130.374908447266,139.260833740234,148.146759033203,157.032684326172,165.918609619141,174.804534912109,183.690460205078,192.576385498047,201.462310791016,210.300811767578,218.773986816406,227.247161865234,235.720321655273,244.193496704102,252.66667175293,261.139831542969,269.613006591797,278.086181640625,286.559356689453,295.032531738281,303.958435058594,313.238739013672,322.519073486328,331.799377441406,341.079711914062,350.360015869141,359.640350341797,368.920654296875,378.200988769531,387.481292724609,396.697082519531
