0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
21,-1407.76037597656,-1296.44836425781,-1097.98669433594,-721.320495605469,-344.654357910156,32.0117835998535,240.648727416992,390.298095703125,539.947448730469,693.259033203125,867.018249511719,1040.77746582031,1214.53662109375,1461.6826171875,1765.64562988281,2069.60864257812,2373.57153320312,2168.01245117187,1949.583984375,1731.15551757813,1589.36474609375,1568.91638183594,1548.46813964844,1528.01977539063,1612.43786621094,1723.26416015625,1834.09045410156,1890.19592285156,1741.14855957031,1592.10107421875,1443.0537109375,1426.41723632813,1490.14636230469,1553.87548828125,1613.04016113281
22,-1379.29931640625,-1136.89697265625,-861.023681640625,-516.708923339844,-172.394104003906,171.920700073242,364.606292724609,504.061614990234,643.516906738281,806.930480957031,1104.11340332031,1401.29638671875,1698.47937011719,1933.81213378906,2121.259765625,2308.70727539062,2496.15478515625,2209.90771484375,1911.69616699219,1613.48449707031,1440.14428710938,1464.51611328125,1488.88781738281,1513.25964355469,1663.96655273438,1846.48815917969,2029.009765625,2130.62646484375,1928.92395019531,1727.22131347656,1525.51867675781,1471.58837890625,1507.34716796875,1543.10583496094,1575.05126953125
23,-1066.83996582031,-791.120788574219,-508.044403076172,-209.923797607422,88.1968002319336,386.317413330078,532.3974609375,625.102844238281,717.808227539063,837.681030273438,1109.24194335938,1380.802734375,1652.36352539063,1848.34033203125,1985.798828125,2123.25732421875,2260.7158203125,2042.43225097656,1815.16333007813,1587.89440917969,1462.5087890625,1498.4375,1534.36608886719,1570.29479980469,1687.03454589844,1824.12475585938,1961.21496582031,2033.0712890625,1860.359375,1687.64758300781,1514.93579101563,1471.19262695313,1505.72583007813,1540.25903320313,1571.62048339844
24,-682.322814941406,-398.094604492187,-125.628723144531,122.785385131836,371.199493408203,619.613586425781,711.310363769531,747.990600585938,784.6708984375,847.392456054688,1055.51428222656,1263.63623046875,1471.75805664063,1621.39038085938,1725.73937988281,1830.08825683594,1934.43725585938,1821.83386230469,1703.75073242188,1585.66760253906,1528.40881347656,1567.45458984375,1606.50048828125,1645.54638671875,1702.88134765625,1764.82214355469,1826.76281738281,1849.76013183594,1726.75476074219,1603.74938964844,1480.74401855469,1459.2353515625,1499.32885742188,1539.42248535156,1576.95788574219
25,-297.805694580078,-5.06836271286011,256.786987304688,455.494567871094,654.202209472656,852.909790039062,890.223266601562,870.87841796875,851.533569335938,857.103881835937,1001.78680419922,1146.4697265625,1291.15258789063,1394.44055175781,1465.67980957031,1536.91918945312,1608.15856933594,1601.23547363281,1592.33801269531,1583.44067382813,1594.30871582031,1636.47180175781,1678.63488769531,1720.7978515625,1718.72814941406,1705.51940917969,1692.31066894531,1666.44885253906,1593.15002441406,1519.85119628906,1446.55236816406,1447.27795410156,1492.93188476563,1538.5859375,1582.29528808594
26,31.9334869384766,235.318099975586,434.540679931641,625.252685546875,815.964721679688,1006.67669677734,1007.77380371094,942.305541992188,876.837280273437,836.461547851562,936.188659667969,1035.91577148438,1135.64282226563,1215.18542480469,1279.10083007813,1343.01635742188,1406.93176269531,1458.35729980469,1509.46728515625,1560.57727050781,1614.78076171875,1673.88208007812,1732.9833984375,1792.08471679688,1760.646484375,1706.40783691406,1652.16918945313,1602.00329589844,1567.1064453125,1532.20971679688,1497.31286621094,1518.80163574219,1574.51306152344,1630.22436523438,1682.07458496094
27,304.592224121094,316.648956298828,399.029907226562,625.21044921875,851.390991210937,1077.57153320313,1061.3828125,960.109069824219,858.835266113281,784.189636230469,858.221008300781,932.252380371094,1006.28375244141,1085.63000488281,1169.09106445313,1252.55200195313,1336.01306152344,1396.46606445313,1456.337890625,1516.20971679688,1587.91516113281,1678.35681152344,1768.79858398438,1859.240234375,1829.73217773438,1770.01733398438,1710.30261230469,1661.41943359375,1653.14514160156,1644.87072753906,1636.59643554688,1677.31530761719,1747.77014160156,1818.22497558594,1880.26513671875
28,577.2509765625,397.979797363281,363.519134521484,625.168212890625,886.817321777344,1148.46643066406,1114.99182128906,977.912536621094,840.833190917969,731.917663574219,780.253356933594,828.588989257812,876.924621582031,956.074523925781,1059.08117675781,1162.08776855469,1265.09448242188,1334.57495117188,1403.20861816406,1471.84216308594,1561.04956054688,1682.83166503906,1804.61376953125,1926.39575195313,1898.81774902344,1833.62683105469,1768.43591308594,1720.83557128906,1739.18371582031,1757.53186035156,1775.88000488281,1835.82897949219,1921.02734375,2006.2255859375,2078.45581054687
29,761.043090820313,446.040466308594,325.752319335938,603.617919921875,881.483581542969,1159.34924316406,1120.81750488281,971.212646484375,821.607849121094,698.494384765625,723.293823242188,748.09326171875,772.892700195313,847.194763183594,959.822387695312,1072.44995117188,1185.07751464844,1270.09326171875,1354.41149902344,1438.72961425781,1545.49621582031,1687.8056640625,1830.115234375,1972.42468261719,1949.59338378906,1885.17517089844,1820.75695800781,1777.39868164063,1812.99597167969,1848.59326171875,1884.19067382813,1958.46655273438,2056.21826171875,2153.9697265625,2235.17260742187
30,544.869995117188,344.36083984375,277.831604003906,485.265655517578,692.69970703125,900.133728027344,911.58251953125,854.229614257813,796.876708984375,749.903686523438,760.886413574219,771.869140625,782.851867675781,831.371032714844,908.951354980469,986.531616210938,1064.11193847656,1193.95227050781,1325.11254882813,1456.27282714844,1580.8564453125,1695.02697753906,1809.19750976563,1923.36804199219,1917.96008300781,1882.43908691406,1846.91809082031,1821.12109375,1831.78100585938,1842.44079589844,1853.1005859375,1919.63537597656,2020.08288574219,2120.53051757812,2205.22631835937
31,328.696960449219,242.681213378906,229.910858154297,366.913330078125,503.915802001953,640.918273925781,702.34765625,737.24658203125,772.145568847656,801.313049316406,798.479064941406,795.64501953125,792.81103515625,815.547302246094,858.080322265625,900.613342285156,943.146362304688,1117.81127929688,1295.81359863281,1473.81591796875,1616.21655273438,1702.24816894531,1788.27978515625,1874.31140136719,1886.32690429688,1879.70300292969,1873.0791015625,1864.84362792969,1850.56591796875,1836.28820800781,1822.01062011719,1880.80419921875,1983.94763183594,2087.09106445312,2175.28002929687
32,112.523872375488,141.001571655273,181.990142822266,248.56103515625,315.131927490234,381.702819824219,493.112701416016,620.263549804688,747.414428710938,852.722351074219,836.071655273438,819.420959472656,802.770202636719,799.723510742188,807.209289550781,814.695007324219,822.180725097656,1041.67028808594,1266.5146484375,1491.35913085938,1651.57678222656,1709.46948242188,1767.36218261719,1825.2548828125,1854.69360351562,1876.96691894531,1899.24011230469,1908.56604003906,1869.35083007812,1830.1357421875,1790.92053222656,1841.97290039062,1947.81237792969,2053.65185546875,2145.33374023437
33,146.942947387695,203.84895324707,252.137817382813,282.806274414063,313.474700927734,344.143157958984,488.675933837891,673.181396484375,857.686950683594,1006.54180908203,956.343444824219,906.145080566406,855.946716308594,824.233642578125,806.83203125,789.430419921875,772.02880859375,1040.90185546875,1317.00573730469,1593.10949707031,1761.91040039063,1760.81616210938,1759.72204589844,1758.62780761719,1779.22924804688,1805.29431152344,1831.359375,1841.55908203125,1792.2783203125,1742.99743652344,1693.71655273438,1729.63317871094,1817.25964355469,1904.88610839844,1981.3349609375
34,217.528106689453,290.441284179687,339.325408935547,339.074737548828,338.824066162109,338.573364257812,513.796142578125,750.619812011719,987.443481445312,1175.14135742188,1088.54772949219,1001.9541015625,915.360534667969,854.564758300781,813.742126464844,772.919494628906,732.096862792969,1051.01135253906,1379.01220703125,1707.01293945313,1883.064453125,1818.53125,1753.998046875,1689.46484375,1697.43908691406,1723.67272949219,1749.90625,1758.57141113281,1701.37121582031,1644.17102050781,1586.97094726563,1606.6845703125,1673.08056640625,1739.47644042969,1797.9892578125
35,288.113250732422,377.033630371094,426.513031005859,395.343200683594,364.173400878906,333.003601074219,538.916320800781,828.058227539063,1117.20007324219,1343.74096679688,1220.75207519531,1097.76318359375,974.774291992187,884.895935058594,820.652282714844,756.408630371094,692.164978027344,1061.12097167969,1441.01867675781,1820.91638183594,2004.21850585937,1876.24633789063,1748.27416992188,1620.30200195312,1615.64904785156,1642.05102539063,1668.453125,1675.58374023438,1610.46423339844,1545.3447265625,1480.22521972656,1483.73596191406,1528.9013671875,1574.06665039063,1614.64343261719
